title,company,salary,location,description,skills,url,crawl_time
Nhân Viên Kiểm Soát Chất Lượng,Công Ty Cổ Phần Công Nghệ Tecomen,12tr-15tr ₫/tháng,HN,"- Thiết lập tiêu chuẩn: Xây dựng, cập nhật kế hoạch kiểm soát (Control Plan) và hướng dẫn công việc (Work Instruction) cho từng công đoạn sản xuất. - Kiểm tra hiện trường: Thực hiện kiểm tra định kỳ (Patrol) hoặc đột xuất tại các công đoạn: Hàn, lắp ráp, kiểm tra áp suất, nạp gas, test chức năng... - Giám sát tuân thủ: Đảm bảo công nhân vận hành đúng quy trình thao tác chuẩn (SOP) và các điều kiện sản xuất an toàn. - Xử lý sự cố: Kịp thời phát hiện, cách ly sản phẩm lỗi phát sinh trên dây chuyền và báo cáo cấp trên. - Phân tích & Đào tạo: Phân tích xu hướng lỗi (Trend Analysis), phối hợp với Sản xuất tìm nguyên nhân gốc rễ và đào tạo ý thức chất lượng cho công nhân.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hưng Yên, QA/QC/Software Testing, Sản xuất, Giám Sát Tuân Thủ, Giao Tiếp, Kiểm Soát Chất Lượng, Phân Tích Lỗi, Quản Lý Thiết Bị",https://www.vietnamworks.com/nhan-vien-kiem-soat-chat-luong--2054067-jv,2026-05-24 16:40:10.903569
Chuyên viên Marketing - Marketing Executive,Công ty TNHH Vạn Thế Hưng,Thương lượng,HN,"• Xây dựng và triển khai chiến lược marketing tổng thể cho sản phẩm ứng dụng, bao gồm kế hoạch go-to-market, user acquisition và retention cho từng giai đoạn phát triển. • Nghiên cứu thị trường, phân tích đối thủ cạnh tranh và hành vi người dùng trong lĩnh vực ứng dụng văn hóa – tâm linh để đưa ra insight chiến lược. • Lên kế hoạch và thực thi các chiến dịch marketing đa kênh: mạng xã hội (Facebook, TikTok, YouTube, Zalo), SEO/ASO, influencer marketing, PR số và community building. • Sản xuất và quản lý nội dung sáng tạo phù hợp với thị hiếu và cảm quan tâm linh, văn hóa của người dùng mục tiêu. • Ứng dụng công cụ AI (ChatGPT, Claude, Midjourney, v.v.) vào quá trình sáng tạo nội dung, phân tích dữ liệu, tự động hóa quy trình marketing và cá nhân hóa trải nghiệm người dùng.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Tiếp Thị, Creative Content, Data Analysis, Digital Marketing, Marketing, Mobile Marketing, Xem chi tiết",https://www.vietnamworks.com/chuyen-vien-marketing-marketing-executive-2053526-jv,2026-05-24 16:40:15.359500
Sales Manager Food Inspection Machines,Công Ty Cổ Phần Xavis Tech,"$ 1,000-2,000 /tháng",HN,•	Promote our automatic inspection products both domestic in Vietnam or oversea markets. •	Develop and execute sale strategies to generate revenue with monthly/quarterly/annual sales report/target. •	Establish a customer database and relevant tools to build up sales activities. •	Be proactive in developing and identifying potential customers and capture business opportunities in different markets/sectors by using appropriate tools. •	Coordinate with relevant departments for smoothly finalizing sales process and after sale services.,"Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Kinh Doanh, Bán Hàng Kỹ Thuật, Hệ thống CNTT & Thiết bị, Sales Strategy, Technical Sales, Factory Automation, Communication Skills",https://www.vietnamworks.com/sales-manager-food-inspection-machines-2054136-jv,2026-05-24 16:40:19.701414
Communication Designer (3.5 Months contract),,Communication Designer (3.5 Months contract),HCM,"We are seeking a highly skilled and creativeCommunication Designerto join our team. The ideal candidate will have a strong portfolio demonstrating advanced expertise in graphic design, motion graphics, and video editing. This role is essential in shaping our visual communication, enhancing brand presence, and delivering compelling multimedia content for campaigns, events, and digital channels. - Developing marketing materials such as brochures, pamphlets, fliers, trade show booths, infomercials, direct mail campaigns, and advertisements for print or broadcast media - Creating visual concepts for public relations campaigns such as corporate identity packages, brochures, annual reports, and signage - Take care of post-production for videos (cut, edit and create effects) - Increase user friendliness in digital products (community, infographic, poster, banners, video…)","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Thiết Kế, Thiết Kế Đồ Họa, Graphic Design, Interaction Design, English, Adobe Photoshop, Illustrator",https://www.vietnamworks.com/communication-designer-3-5-months-contract--2054639-jv,2026-05-24 16:40:23.323596
Technical Product Marketing,Bosch Global Software Technologies Company Limited,Thương lượng,HCM,"We are building a Next Gen global workflow platform that powers mission‑critical processes for enterprises - now accelerated byLow‑Code/No‑Code, Citizen Development, and GenAIat the core. As our Technical Evangelist - Workflow Platform, you turn capabilities into customer outcomes: crafting narratives, demos, and programs that convert curiosity into activation, pilots into migration commitments, and releases into daily habit. You’ll lead workshops, product walkthroughs, and customer councils to accelerate legacy‑to‑Next Gen migration, tighten feedback loops with Product and Engineering, and make end‑users love using our platform every day. Your impact will be visible in adoption growth, migration velocity, and delighted customers at global scale. - Turn technical features (GenAI, LCNC, workflow orchestration, governance) into clear value propositions and job-to-be-done narratives. - Create and maintain demo scripts, solution walkthroughs, hands-on videos, PPT narratives, technical datasheets, FAQ, release notes, how-to guides, and customer newsletters. - Build battlecards and enablement decks tailored to IT, business owners, architects, and end-user personas.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Product Marketing, Jira, Power BI, English, Product Specialist, (Xem bản đồ)",https://www.vietnamworks.com/technical-product-marketing--2054618-jv,2026-05-24 16:40:29.315306
(Junior/Senior) Microelectronic Engineer/Scientist,CÔNG TY TNHH QUANOVA,Thương lượng,DN,"As an Microelectronics Engineer/Scientist, you will contribute to the design and implementation of optical and quantum communication protocols and network functionalities. You will work within an interdisciplinary team to develop and deploy next-generation quantum networking solutions. • BSc, MSc, PhD in Engineering, microelectronics, optomechanical Engineering, Electrical Engineering, Physics, or a related field • Experimental experience in one or more of the following domains: • Good knowledge in VHDL. Verilog, System Verilog is a plus. • High degree in engineering, and high background in Microelectronics.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Đà Nẵng, Collaboration, FPGA, Optical Communication, Optics, Vhdl Knowledge, CÔNG TY TNHH QUANOVA, Smartdev LLC",https://www.vietnamworks.com/-juniorsenior-microelectronic-engineerscientist-2057544-jv,2026-05-24 16:40:32.662485
IT Project Manager,VIETNAM HOUSEWARES CORP,Thương lượng,HCM,"Vietnam Housewares is embarking on a major ERP transformation initiative to upgrade and optimize our Arito ERP system. This initiative aims to better support our Manufacturing, Finance, Operations, and Supply Chain functions. We are seeking an experienced IT Project Manager who combines strong project management capabilities with hands-on ERP experience. This role will play a critical part in driving the ERP upgrade from planning through execution and go-live. You will work closely with the Head of IT, ERP Specialist, and cross-functional business stakeholders to ensure successful delivery—from requirements gathering and process mapping to vendor coordination, testing, and user adoption. This is a high-impact, cross-functional role, ideal for someone who can effectively translate business needs into actionable IT solutions. - Lead end-to-end project management of the Arito ERP upgrade initiative","Tất cả danh mục, Dành cho Nhà tuyển dụng, Bình Dương, Quản Lý Dự Án Công Nghệ, Nội thất/Gỗ, IT Project Management, Manage ERP Software, Business Process Design, Vendor Management, Communication Skills",https://www.vietnamworks.com/it-project-manager-2050578-jv,2026-05-24 16:40:38.927602
Infrastructure Network Engineer,CÔNG TY TNHH DỆT REGENT VIỆT NAM,Tới 30tr ₫/tháng,HN,"•	Provide installation, configuration and admin work on server side include Windows servers, Anti-virus, Desktop Management server...etc. to ensure compliance to company requirement. Provide admin work on server, network LAN / WAN including router, network switch, wireless network, firewall security …. etc. •	Responsible to prepare standard guidelines, manuals, script related IT documentations on infrastructure & architecture","Tất cả danh mục, Dành cho Nhà tuyển dụng, Phú Thọ, Dệt may/May mặc/Giày dép, English, Network Protocols, Security Control, System Support, Troubleshooting, Chuyên Viên IT",https://www.vietnamworks.com/infrastructure-network-engineer-2030975-jv,2026-05-24 16:40:41.972395
IT Developer - IT Department,"Mizuho Bank, Ltd.",Thương lượng,HN,"• To be assigned and controlled by IT Department Head and/or persons in charge of system development • Responsible, accurate and able to work under high pressure and to strict deadlines; • Good skills of teamwork, communication, reporting & interpersonal; • Fluent in Vietnamese and English (both oral & written); • Proficiency in ASP.Net Core Razor page, Entity Framework Core, SQL server, HTML5, CSS3, Bootstrap, jQuery;","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Phần Mềm Máy Tính, Ngân hàng, Information Technology, Banking, IT Development, System Development, Software Engineering",https://www.vietnamworks.com/it-developer-it-department--2057905-jv,2026-05-24 16:40:48.721211
Junior Tester (QA),Công Ty Cổ Phần Icsp Việt Nam,Tới 20tr ₫/tháng,HN,"-   Tham gia dự án phát triển sản phẩm enterprise quy mô lớn -   Chịu trách nhiệm làm Test viewpoint, test plan, test design, test spec, excute test. -   Tham gia giai đoạn R&D các vấn đề liên quan đến công việc -   Thực hiện các công việc khác có liên quan theo yêu cầu của quản lý •   Phân tích yêu cầu nghiệp vụ (tiếng Việt và tiếng Nhật), tài liệu thiết kế để xác định phạm vi kiểm thử","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, QA/QC/Software Testing, Viễn thông, Test Design, Test Planning, Functional Testing, Regression Testing, Japanese Speaking",https://www.vietnamworks.com/junior-tester-qa-2057827-jv,2026-05-24 16:40:51.877940
